POP_ID	Longitude	Latitude	Region	elevation	WS_AREA_km2	SQR_WS_AREA_km	d_min_km	dist_max_km
MSL	-149.12350	64.50224	Alaska	115.28510	6292.60396	79.32593	1490.46815	1569.79409
AKA	-154.22830	57.16483	Alaska	0.00000	39.91226	6.31762	29.890000	36.20762
ALA	-156.46574	59.09397	Alaska	21.78670	2729.08717	52.24067	50.69081	102.93148
ARC	-163.71900	62.17600	Alaska	12.58271	411.66317	20.28948	148.02324	168.31272
AYA	-154.42194	57.26076	Alaska	50.46254	287.11927	16.94459	18.57171	35.51630
BIG	-149.82327	61.44742	Alaska	28.60097	327.16087	18.08759	5.55283	23.64042
BIL	-147.29982	60.96814	Alaska	82.27227	7.67312	2.77004	1.11842	3.88846
CLR	-155.54100	66.22100	Alaska	84.92908	208.48163	14.43889	1344.34848	1358.78738
CRE	-152.79695	60.36137	Alaska	261.39899	267.93121	16.36860	25.55027	41.91887
FRO	-162.80976	55.16749	Alaska	59.30732	9.07348	3.01222	7.02230	10.03452
FUN	-150.84001	60.49085	Alaska	47.97968	361.23679	19.00623	52.45523	71.46146
GEO	-157.69833	61.92333	Alaska	57.84420	3943.03154	62.79356	462.53427	525.32783
GER	-156.13217	58.14332	Alaska	167.54636	182.66379	13.51532	104.50027	118.01558
GUN	-147.99727	60.47411	Alaska	0.00000	4.45626	2.11099	0.00000	2.11099
IVA	-158.82783	56.01911	Alaska	0.00000	169.40835	13.01570	0.00000	13.01570
KEN	-150.53456	60.46024	Alaska	85.73975	2420.79282	49.20155	83.16775	132.36930
KOG	-157.84278	60.83917	Alaska	158.71803	2154.49340	46.41652	707.20374	753.62027
KWE	-161.09855	60.49574	Alaska	24.03416	2134.46548	46.20028	202.40340	248.60368
MAG	-131.62655	55.69389	Alaska	0.00000	53.05390	7.28381	5.15842	12.44223
MAT	-160.83306	59.06639	Alaska	80.13869	141.99878	11.91632	31.93741	43.85374
GOO	-161.39015	59.15918	Alaska	12.83499	660.67866	25.70367	17.95836	43.66203
NAK	-156.60073	58.64595	Alaska	1.67105	1025.99680	32.03118	36.89127	68.92245
NAV	-176.62113	51.89991	Alaska	0.00000	7.61785	2.76004	0.00000	2.76004
OTT	-147.64763	60.42704	Alaska	168.44748	0.77265	0.87900	1.82701	2.70602
PAU	-152.34008	58.38983	Alaska	0.00000	16.83841	4.10346	0.00000	4.10346
ROD	-158.72300	64.27200	Alaska	38.07775	435.00389	20.85675	757.82607	778.68282
RUS	-162.69636	55.17481	Alaska	21.11304	59.46433	7.71131	3.81418	11.52549
SAD	-160.03194	56.20056	Alaska	70.39192	276.66280	16.63318	27.44741	44.08059
SFK	-153.59473	62.53903	Alaska	322.53085	84.85359	9.21160	909.35217	918.56377
SHK	-161.06700	64.37450	Alaska	8.98385	2398.62688	48.97578	13.82164	62.79742
SIT	-139.57031	59.44760	Alaska	0.00000	169.84643	13.03251	0.00000	13.03251
SNA	-165.53393	64.52440	Alaska	5.03665	276.85416	16.63894	10.20513	26.84406
SPI	-153.64116	57.66306	Alaska	0.00000	68.75056	8.29160	0.00000	8.29160
TRA	-149.23135	60.55774	Alaska	202.39993	122.32818	11.06021	193.65215	204.71235
WHI	-176.73068	51.87157	Alaska	0.00000	4.26112	2.06425	0.00000	2.06425
AAL	-128.47722	53.14639	BC	0.00000	95.95115	9.79547	90.70140	100.49686
ALB	-119.13083	52.47861	Thompson	796.44788	415.22507	20.37707	737.66124	758.03831
ALO	-122.70861	49.26444	BC	2.42659	328.11116	18.11384	43.08302	61.19686
ASH	-123.30222	49.89694	BC	128.95598	290.50035	17.04407	75.72304	92.76711
AVO	-119.31778	51.77750	Thompson	627.58521	4.12678	2.03145	640.26401	642.29546
BAR	-120.13861	51.17389	Thompson	425.41302	1165.95730	34.14612	498.75080	532.89692
BEL	-128.12028	52.15472	BC	0.00000	4.47887	2.11633	0.00000	2.11633
BES	-118.82194	50.30639	Thompson	512.41589	780.53111	27.93799	703.54822	731.48621
BIQ	-124.61101	49.39803	BC	0.00000	142.46025	11.93567	0.00000	11.93567
BLC	-125.10000	49.85333	BC	0.00000	62.25430	7.89014	0.00000	7.89014
BLA	-122.64639	49.27139	BC	2.77676	25.72570	5.07205	48.70783	53.77988
BON	-121.25861	50.73917	Thompson	406.75275	5515.08905	74.26365	350.20955	424.47320
BRI	-121.93139	50.74944	Thompson	348.74918	4565.21092	67.56634	338.81634	406.38268
BUL	-127.67472	55.24611	BC	216.44714	12414.69742	111.42126	259.77000	371.19126
CAP	-123.13944	49.32139	BC	0.00000	202.43872	14.22810	8.92471	23.15280
CHA	-123.72333	49.43917	BC	0.00000	69.51885	8.33780	0.00000	8.33780
CHS	-123.91917	49.13611	BC	0.00000	22.34491	4.72704	0.00000	4.72704
CHE	-121.93583	49.26972	BC	11.76720	388.12249	19.70082	117.63428	137.33511
CHM	-123.67167	48.89778	BC	0.00000	364.40303	19.08934	0.00000	19.08934
CHK	-123.46194	52.09500	BC	761.74304	6513.19867	80.70439	595.43361	676.13800
CHW	-121.96389	49.09722	BC	104.21054	1171.98832	34.23431	107.45020	141.68451
CHI	-122.18333	49.16667	BC	15.07704	178.68903	13.36746	90.93837	104.30583
CLE	-128.55639	54.30250	BC	200.12405	1.22386	1.10628	142.16097	143.26725
CLU	-127.17750	50.61167	BC	0.00000	89.15536	9.44221	0.00000	9.44221
COG	-122.56861	49.12167	BC	32.05157	26.18543	5.11717	65.04085	70.15802
COL	-120.80417	50.11472	Thompson	611.12103	915.16685	30.25172	366.64832	396.90004
CON	-126.43833	49.79556	BC	0.00000	124.22153	11.14547	27.77879	38.92426
COP	-131.80028	53.16111	HaidaGwaii	0.00000	145.18297	12.04919	0.00000	12.04919
COW	-123.63667	48.75333	BC	0.00000	1205.62009	34.72204	0.00000	34.72204
CYP	-125.91944	49.27722	BC	0.00000	57.73394	7.59829	16.32606	23.92434
DAM	-127.92222	56.39722	BC	620.01172	216.64789	14.71896	459.20369	473.92266
DAT	-132.48556	53.56639	HaidaGwaii	0.00000	47.60715	6.89979	31.26029	38.16009
DEE	-132.13444	53.14389	HaidaGwaii	0.00000	71.10184	8.43219	13.79832	22.23051
DUT	-118.96028	50.25139	Thompson	496.18652	185.98719	13.63771	722.48287	736.12058
EAG	-119.01083	50.84306	Thompson	348.55701	1242.01006	35.24216	571.12508	606.36724
EVE	-128.95556	53.58444	BC	0.00000	18.18887	4.26484	80.32567	84.59051
FEN	-119.72306	51.35250	Thompson	701.14252	103.18814	10.15816	550.99461	561.15277
GAT	-122.47222	50.55194	Thompson	279.02255	303.09087	17.40951	382.53495	399.94445
GLE	-127.48972	50.71056	BC	0.00000	14.25497	3.77558	0.00000	3.77558
GOL	-123.54856	48.48496	BC	0.00000	54.29702	7.36865	0.00000	7.36865
HAB	-119.30167	51.54194	Thompson	475.51691	107.61542	10.37379	607.75541	618.12919
HAR	-118.99250	50.19861	Thompson	632.36407	194.74326	13.95504	732.15328	746.10833
HEY	-125.66444	50.54028	BC	0.00000	34.53646	5.87677	98.30573	104.18250
HIC	-121.37222	49.20306	BC	607.36560	22.76923	4.77171	182.25674	187.02845
HOM	-124.86028	50.93111	BC	0.00000	5720.22422	75.63216	107.74724	183.37941
HOD	-121.80000	49.18333	BC	16.16986	3.66600	1.91468	122.88809	124.80277
HUG	-128.78250	53.72389	BC	0.00000	50.71086	7.12116	103.52593	110.64708
INC	-122.15611	49.17028	BC	8.63316	0.38128	0.61748	92.92962	93.54710
KAL	-128.66139	54.52027	BC	59.76688	2167.97799	46.56155	122.38230	168.94385
KAN	-122.58361	49.19917	BC	7.77067	53.78725	7.33398	52.08067	59.41465
KAS	-129.40056	54.29306	BC	47.93658	244.05468	15.62225	59.66790	75.29015
KAW	-121.40194	49.38639	BC	105.92993	7.94395	2.81850	175.51191	178.33042
UKE	-125.66750	49.13639	BC	0.00000	544.83485	23.34170	26.62817	49.96986
KEO	-127.34833	50.67750	BC	0.00000	124.51131	11.15846	0.00000	11.15846
KIS	-128.53667	52.57861	BC	154.00105	4.69892	2.16770	22.89615	25.06385
KIT	-128.66222	54.01083	BC	0.00000	1971.89965	44.40608	136.86169	181.26776
KLI	-125.62611	51.09222	BC	0.00000	6053.40662	77.80364	125.04349	202.84713
KOO	-125.72500	49.09083	BC	0.00000	32.03609	5.66004	22.02902	27.68907
KWA	-125.68611	50.78111	BC	0.00000	68.64878	8.28546	78.84084	87.12630
LAC	-129.97944	54.30167	BC	168.71233	41.35197	6.43055	50.54211	56.97266
LNG	-124.37056	49.77611	BC	0.00000	126.95526	11.26744	0.00000	11.26744
LAN	-118.81145	50.32692	Thompson	411.67474	0.08787	0.29643	700.82233	701.11876
LEM	-120.20056	51.42417	Thompson	387.74292	553.74216	23.53173	532.12332	555.65505
LIO	-119.30890	51.87778	Thompson	571.00000	65.42023	NA	651.67800	651.67800
LCA	-122.69439	49.02205	BC	24.62510	24.12847	4.91207	10.22509	15.13716
LON	-127.14639	51.23417	BC	0.00000	308.64442	17.56828	52.27390	69.84218
LOU	-120.12833	51.13750	Thompson	387.02075	521.90544	22.84525	493.64276	516.48801
MGG	-125.39333	48.98472	BC	0.00000	56.42174	7.51144	0.00000	7.51144
MAM	-123.15444	49.73333	BC	0.00000	391.59883	19.78886	0.00000	19.78886
MAR	-127.50944	50.53361	BC	0.00000	511.93363	22.62595	0.00000	22.62595
MTI	-127.72250	52.36028	BC	0.00000	21.20315	4.60469	0.00000	4.60469
MCK	-121.06972	52.28889	Thompson	917.80872	456.28606	21.36085	846.63235	867.99320
MCL	-128.14667	52.13694	BC	0.00000	2.85998	1.69115	0.00000	1.69115
MCN	-118.94556	51.26389	Thompson	362.93393	54.91359	7.41037	575.80110	583.21147
MER	-132.87500	53.56278	HaidaGwaii	96.67839	35.06488	5.92156	3.11600	9.03756
MSH	-119.05000	50.71667	Thompson	350.67569	35.91692	5.99307	587.089109	593.082179
MOM	-119.42417	51.33444	Thompson	418.45126	455.33689	21.33862	568.92866	590.26728
MOR	-126.74639	54.41056	BC	576.45142	4405.92183	66.37712	403.50617	469.88328
NAN	-123.89556	49.13833	BC	0.00000	847.80740	29.11713	0.00000	29.11713
NAT	-122.45833	49.16667	BC	8.93681	9.51405	3.08448	62.77206	65.85655
NEE	-126.68694	51.64583	BC	0.00000	383.11394	19.57330	94.93434	114.50764
NEK	-127.11722	51.39972	BC	0.00000	379.91464	19.49140	52.97857	72.46997
NIC	-122.86944	49.05806	BC	0.00000	154.81260	12.44237	0.00000	12.44237
NIM	-126.98194	50.56639	BC	0.00000	1772.18173	42.09729	0.00000	42.09729
NIT	-124.68194	48.82139	BC	10.31410	438.00239	20.92851	23.38408	44.31259
NOR	-122.13528	49.17306	BC	5.75709	113.52273	10.65470	94.48538	105.14009
OON	-130.25611	53.94722	BC	0.00000	27.86543	5.27877	0.00000	5.27877
PAC	-125.12694	48.79833	BC	0.00000	50.66345	7.11783	0.00000	7.11783
PAL	-132.03222	53.05194	HaidaGwaii	0.00000	84.56956	9.19617	28.93792	38.13409
PAR	-128.76583	53.48833	BC	0.00000	54.01668	7.34960	99.53615	106.88575
PHI	-125.36528	50.56833	BC	0.00000	438.40932	20.93823	74.13783	95.07605
PIG	-119.88672	51.59828	Thompson	449.02844	4535.17527	67.34371	578.03500	645.37871
POO	-122.69250	50.43528	BC	402.29236	35.83437	5.98618	306.04560	312.03178
POR	-141.00000	67.41056	Alaska	229.49641	71942.36896	268.22075	2079.00321	2347.22396
POS	-121.47944	49.09167	BC	600.63263	332.48755	18.23424	154.52567	172.75991
PUN	-124.99472	49.69583	BC	0.00000	856.82270	29.27153	2.50933	31.78086
QUL	-129.30333	53.64806	BC	0.00000	186.55236	13.65842	84.74635	98.40476
QUA	-127.48000	50.69972	BC	0.00000	96.85544	9.84152	0.00000	9.84152
QUT	-127.48000	50.69972	BC	0.00000	96.85544	9.84152	0.00000	9.84152
QUI	-125.29389	50.03750	BC	27.72662	272.33021	16.50243	11.83501	28.33744
RAF	-119.99222	51.63194	Thompson	431.29877	776.24245	27.86113	567.33273	595.19386
